pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-533,b,Kepler-533 b,Transit,0,1,28.51120525,2.321E-05,-2.321E-05,0,,,,,,,,,,,,,,,,,,0.302,0.007,-0.029,0,,,,,0,1,0,1,19h34m44.58s,293.685736,+48d49m30.5s,48.825146,305,7.29,-8.13,0,305.63,1.45,-1.45,0,13.933,,0,Kepler-band,13.925,,0,4758,53.5,-40.01,0,0.78,0.02,-0.03,0,0.72,0.01,-0.02,0,2016-05-10,Kepler
Kepler-534,b,Kepler-534 b,Transit,0,1,15.95994513,2.216E-05,-2.216E-05,0,,,,,,,,,,,,,,,,,,0.2,0.007,-0.006,0,,,,,0,1,0,1,19h45m40.45s,296.418559,+49d32m24.4s,49.540104,473,17.06,-16.3,0,579.92,11.66,-11.66,0,13.235,,0,Kepler-band,13.231,,0,5884,73.37,-76.49,0,1.05,0.03,-0.03,0,0.98,0.03,-0.03,0,2016-05-10,Kepler
Kepler-535,b,Kepler-535 b,Transit,0,1,4.90332155,4.54E-06,-4.54E-06,0,,,,,,,,,,,,,,,,,,0.211,0.029,-0.019,0,,,,,0,1,0,1,19h46m15.99s,296.566641,+49d41m46.5s,49.696251,678,92.15,-62.67,0,699.43,6.11,-6.11,0,13.174,,0,Kepler-band,13.12,,0,6123,74.81,-69.56,0,1.18,0.06,-0.04,0,1.27,0.18,-0.11,0,2016-05-10,Kepler
Kepler-536,b,Kepler-536 b,Transit,0,1,1.8270823,4.4E-07,-4.4E-07,0,,,,,,,,,,,,,,,,,,0.277,0.034,-0.02,0,,,,,0,1,0,1,19h50m56.73s,297.73638,+49d38m13.8s,49.637154,446,57.08,-35.14,0,467.79,15.4,-15.4,0,13.807,,0,Kepler-band,13.782,,0,5524,91.48,-143.16,0,0.92,0.05,-0.06,0,0.89,0.11,-0.06,0,2016-05-10,Kepler
Kepler-537,b,Kepler-537 b,Transit,0,1,3.24755522,5.26E-06,-5.26E-06,0,,,,,,,,,,,,,,,,,,0.126,0.005,-0.004,0,,,,,0,1,0,1,19h19m31.35s,289.880634,+51d16m37.5s,51.277081,465,15.58,-15,0,445.05,2.43,-2.43,0,13.1,,0,Kepler-band,13.066,,0,5763,62.32,-50.52,0,1.07,0.03,-0.03,0,0.99,0.03,-0.03,0,2016-05-10,Kepler
Kepler-538,b,Kepler-538 b,Transit,0,1,81.73778,0.00013,-0.00013,0,0.4669,0.0087,-0.009,0,0.041,0.034,-0.029,0,89.73,0.14,-0.06,0,0.03335,0.00787,-0.00755,0,Mass,0.198,0.004,-0.003,0,5.4,1.3,-1.3,0,0,1,0,2,19h49m56.86s,297.486901,+49d37m24.4s,49.623455,156.66,0.71,-0.69,0,156.66,0.71,-0.71,0,11.195,,0,Kepler-band,11.165,,0,5547,50,-50,0,0.89,0.05,-0.04,0,0.87,0.01,-0.01,0,2019-09-26,Kepler
Kepler-539,b,Kepler-539 b,Transit,0,2,125.63243,0.00071,-0.00071,0,0.4988,0.0067,-0.0067,0,0.39,,,1,89.845,0.086,-0.086,0,0.97,0.29,-0.29,0,Mass,0.747,0.017,-0.017,0,2.9,0.88,-0.88,0,1,1,0,1,19h56m29.39s,299.122454,+41d52m00.3s,41.86676,310.01,3.56,-3.56,0,310.01,3.56,-3.56,0,12.391,,0,Kepler-band,12.379,,0,5820,80,-80,0,1.05,0.04,-0.04,0,0.95,0.02,-0.02,0,2016-05-10,Kepler
Kepler-539,c,Kepler-539 c,Transit Timing Variations,0,2,1000,,,-1,2.42,0.5,-0.51,0,0.5,0.1,-0.1,0,,,,,2.4,1.2,-1.2,0,Mass,,,,,,,,,0,1,0,1,19h56m29.39s,299.122454,+41d52m00.3s,41.86676,310.01,3.56,-3.56,0,310.01,3.56,-3.56,0,12.391,,0,Kepler-band,12.379,,0,5820,80,-80,0,1.05,0.04,-0.04,0,0.95,0.02,-0.02,0,2016-05-10,Kepler
Kepler-54,b,Kepler-54 b,Transit,0,3,8.0109434,6.9E-05,-6.9E-05,0,,,,,,,,,,,,,0.92,,,1,Mass,0.187,,,0,,,,,1,1,0,1,19h39m05.75s,294.773939,+43d03m22.7s,43.056295,273.8,2.94,-2.94,0,273.8,2.94,-2.94,0,15.847,,0,Kepler-band,15.813,,0,4252,100,-100,0,,,,,0.55,0.02,-0.02,0,2014-05-14,Kepler
Kepler-54,c,Kepler-54 c,Transit,0,3,12.0717249,0.00029,-0.00029,0,,,,,,,,,,,,,0.37,,,1,Mass,0.11,,,0,,,,,1,1,0,1,19h39m05.75s,294.773939,+43d03m22.7s,43.056295,273.8,2.94,-2.94,0,273.8,2.94,-2.94,0,15.847,,0,Kepler-band,15.813,,0,4252,100,-100,0,,,,,0.55,0.02,-0.02,0,2014-05-14,Kepler
